"filename", "language", "Docker", "HTML", "JSON", "JavaScript", "Markdown", "Shell Script", "Batch", "CSS", "C#", "XML", "SCSS", "YAML", "SQL", "comment", "blank", "total"
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_transform.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 4, 19
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 16, 123
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\themes\_variables-dark.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\themes\_variables-light.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\themes\_variables-sunset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_animations.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 4, 31, 230
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_backgrounds.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 6, 41
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_helper.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 8, 12, 66
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_position.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 5, 34
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_shadows.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 4, 18
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_sizing.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 10, 52
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_text.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 9, 10, 53
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_transform.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 3, 17
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\_datepicker.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 34
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\_headroom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\_prism.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 7, 21, 145
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\chartist\_chartist.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 14, 45, 252
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\chartist\settings\_chartist-settings.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 16, 12, 90
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\wizard\_form.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 37, 279
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\wizard\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 1, 12
"d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\wizard\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 7, 7, 33
"d:\REACT\ExpoApp-frontend2\frontend\desktop\tools\docker\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\REACT\ExpoApp-frontend2\frontend\desktop\webpack\main.config.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\REACT\ExpoApp-frontend2\frontend\desktop\webpack\renderer.base.config.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"d:\REACT\ExpoApp-frontend2\frontend\desktop\webpack\renderer.dev.config.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\REACT\ExpoApp-frontend2\frontend\desktop\webpack\renderer.prod.config.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\REACT\ExpoApp-frontend2\frontend\web\package-lock.json", "JSON", 0, 0, 32560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32561
"d:\REACT\ExpoApp-frontend2\frontend\web\package.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"d:\REACT\ExpoApp-frontend2\frontend\web\public\index.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\REACT\ExpoApp-frontend2\frontend\web\src\App.js", "JavaScript", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 165
"d:\REACT\ExpoApp-frontend2\frontend\web\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\REACT\ExpoApp-frontend2\frontend\web\src\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\REACT\ExpoApp-frontend2\frontend\web\src\serviceWorker.js", "JavaScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 13, 142
"d:\REACT\ExpoApp-frontend2\frontend\web\tools\docker\Dockerfile", "Docker", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 19
"Total", "-", 28, 83, 33127, 7937, 15, 13, 2, 16, 5302, 7511, 6218, 39, 66, 763, 2866, 63986
